635,824,1946,820,1946,919,636,923
700,1112,1296,1110,1296,1191,701,1193
1806,2616,2076,2616,2076,2708,1806,2708
376,2602,1231,2606,1231,2696,376,2692
376,3580,1362,3590,1360,3694,376,3684
1089,1835,1491,1827,1491,1924,1093,1932
374,3725,711,3719,711,3799,377,3805
376,2539,646,2539,646,2621,376,2621
376,2684,1166,2686,1166,2783,376,2782
1871,3718,2077,3721,2075,3794,1871,3791
376,2879,907,2884,905,2975,376,2970
376,2391,973,2403,969,2504,376,2491
441,2947,1038,2962,1033,3051,441,3036
1806,2037,2207,2038,2206,2137,1806,2136
701,1966,1946,1964,1946,2065,701,2068
701,1186,1296,1185,1296,1270,701,1271
766,1904,1491,1903,1491,1988,766,1990
376,3306,906,3308,905,3406,376,3404
376,3501,1557,3514,1555,3607,376,3594
831,1651,1881,1650,1881,1800,831,1802
701,1249,973,1254,969,1342,701,1337
1740,3531,2076,3528,2076,3615,1742,3618
1806,3255,2077,3258,2075,3351,1806,3348
376,2040,971,2042,970,2137,376,2135
376,2806,646,2806,646,2890,376,2890
1801,1,2011,-11,2011,78,1811,90
636,1435,1232,1439,1230,1533,636,1529
1806,2322,2076,2322,2076,2414,1806,2414
634,1358,1296,1349,1296,1447,637,1456
635,927,1946,920,1946,1022,636,1029
1806,2977,2078,2983,2074,3072,1806,3066
506,3023,646,3023,646,3119,506,3119
1415,1378,1946,1377,1946,1587,1417,1588
2261,1761,2401,1761,2401,1902,2261,1902
1412,236,1816,225,1816,389,1420,400
701,2314,1037,2317,1035,2412,701,2409
441,2181,776,2183,775,2278,441,2276
635,1050,1296,1039,1296,1121,637,1132
