1152,1528,1370,1528,1370,1598,1152,1598
1152,2624,1374,2635,1366,2712,1152,2702
1110,1986,1370,1986,1370,2064,1110,2064
28,1530,746,1526,746,1605,29,1610
486,929,1245,929,1245,1013,486,1013
29,1837,621,1837,621,1918,29,1917
611,854,1162,858,1161,940,611,937
29,1684,663,1685,663,1763,29,1763
1108,2066,1370,2059,1370,2142,1112,2149
28,1605,746,1602,746,1687,29,1691
28,1376,995,1374,995,1453,29,1456
1152,1832,1370,1832,1370,1907,1152,1907
1110,2710,1370,2709,1370,2783,1110,2783
29,1994,372,1995,371,2077,29,2076
403,1147,1329,1152,1328,1239,403,1234
69,1767,829,1757,829,1835,71,1844
29,2405,205,2405,205,2491,29,2491
1152,1604,1370,1604,1370,1674,1152,1674
655,226,787,195,787,385,734,396
403,777,1329,782,1328,867,403,862
486,1007,1287,1008,1287,1085,486,1084
0,2237,371,2236,371,2322,0,2323
1109,2224,1370,2220,1370,2308,1112,2312
0,2801,496,2797,496,2876,0,2881
1109,2310,1370,2304,1370,2386,1112,2391
1151,1680,1370,1679,1370,1754,1152,1755
0,2736,746,2717,746,2797,0,2816
486,2394,787,2393,787,2476,486,2477
0,2573,413,2574,413,2648,0,2647
1109,2790,1370,2786,1370,2859,1111,2862
0,2650,787,2639,787,2720,0,2732
153,1076,1537,1081,1536,1164,153,1159
0,2083,455,2078,455,2160,0,2165
28,1302,1328,1302,1328,1381,29,1381
396,510,1245,451,1245,603,409,662
1027,384,1120,384,1120,477,1027,477
0,2324,247,2325,246,2407,0,2406
