30,2861,829,2852,829,2927,31,2936
1213,2910,1442,2910,1442,2983,1213,2983
1213,2235,1442,2237,1441,2318,1213,2316
1212,1913,1442,1911,1442,1992,1213,1994
1169,2319,1442,2317,1442,2397,1170,2399
1168,2163,1442,2159,1442,2234,1170,2238
30,2334,478,2328,478,2408,31,2414
1169,2554,1442,2554,1442,2629,1169,2629
468,1039,1310,1034,1310,1121,469,1126
511,967,1310,953,1310,1041,513,1055
30,1446,1004,1437,1004,1516,31,1525
30,2006,1354,1995,1354,2081,31,2092
380,1201,1398,1194,1398,1279,381,1285
73,2652,785,2639,785,2708,75,2721
30,2572,260,2570,260,2652,31,2653
1169,1755,1442,1754,1442,1832,1169,1833
30,2252,1048,2238,1048,2324,32,2338
1169,1670,1442,1672,1441,1753,1169,1751
30,2794,435,2792,435,2868,31,2871
118,1122,1661,1113,1661,1201,119,1210
1169,2476,1442,2477,1441,2556,1169,2555
424,803,1354,797,1354,885,425,891
1342,2776,1442,2773,1442,2839,1346,2842
599,890,1179,880,1179,964,601,974
1213,2834,1443,2837,1441,2914,1213,2911
30,1926,654,1923,654,2013,31,2016
30,2924,522,2921,522,2996,31,3000
0,1602,873,1596,873,1678,0,1683
0,2174,391,2171,391,2254,0,2257
0,2495,391,2492,391,2571,0,2574
1038,378,1179,378,1179,473,1038,473
374,530,1223,454,1223,606,388,681
0,1763,741,1757,741,1845,0,1851
819,98,1017,112,990,298,819,286
30,1849,873,1838,873,1924,32,1935
0,1684,741,1677,741,1763,0,1770
0,1365,1442,1353,1442,1434,0,1447
