1480,2778,1730,2780,1728,2871,1480,2869
762,1548,1729,1543,1729,1629,763,1634
524,1468,2028,1469,2028,1557,524,1556
1480,2861,1729,2861,1729,2945,1480,2945
404,1773,1371,1776,1370,1852,404,1849
404,2226,1013,2236,1010,2325,404,2315
1479,3159,1729,3157,1729,3238,1480,3239
344,3148,1132,3155,1131,3234,344,3228
344,2857,597,2866,590,2944,344,2934
1480,2089,1729,2089,1729,2169,1480,2169
404,2150,1192,2156,1190,2244,404,2238
1540,2242,1729,2242,1729,2318,1540,2318
344,2539,1730,2549,1728,2635,344,2625
404,1687,1790,1703,1787,1791,404,1775
344,2071,1073,2080,1070,2168,344,2160
1480,2473,1729,2473,1729,2557,1480,2557
882,1316,1609,1315,1609,1406,882,1406
344,2775,713,2773,713,2861,345,2862
344,3216,833,3222,831,3295,344,3289
344,3081,774,3087,772,3164,344,3158
344,2307,1670,2316,1668,2410,344,2401
344,2618,833,2624,831,2705,344,2700
1479,2632,1729,2630,1729,2709,1481,2711
762,1163,1729,1159,1729,1249,763,1254
404,1997,1072,2001,1071,2083,404,2079
942,1240,1550,1241,1549,1330,942,1329
165,883,295,883,295,960,165,960
1480,3231,1729,3231,1729,3321,1480,3322
1480,2008,1730,2013,1727,2093,1480,2088
404,1917,773,1919,772,2005,404,2003
1229,482,1430,473,1430,730,1252,738
822,857,1730,860,1728,1030,822,1027
882,2928,1131,2927,1131,3012,882,3013
1360,743,1498,751,1481,879,1360,872
822,1391,1669,1389,1669,1479,823,1481
344,2464,713,2466,713,2550,344,2549
