179,2706,527,2706,527,2787,179,2787
179,2418,768,2417,768,2496,180,2497
179,3273,817,3277,816,3350,179,3346
179,2566,672,2567,672,2642,179,2641
710,1775,1203,1776,1202,1856,710,1855
179,3585,913,3584,913,3658,180,3659
179,3341,624,3342,623,3414,179,3414
179,2275,1058,2278,1057,2355,179,2352
1192,2497,1395,2497,1395,2574,1192,2574
179,2921,528,2924,526,3002,179,2999
517,2060,1396,2066,1395,2143,517,2137
1192,2715,1395,2715,1395,2796,1192,2796
1192,3349,1395,3349,1395,3424,1193,3425
179,2778,577,2783,574,2864,179,2859
179,2202,1396,2207,1395,2282,179,2276
1192,3282,1396,3284,1395,3350,1192,3348
1192,2924,1399,2931,1392,3010,1192,3003
179,2490,817,2494,816,2573,179,2569
1433,615,1781,610,1781,690,1435,694
1192,3000,1395,3000,1395,3074,1192,3074
1241,2424,1397,2427,1394,2500,1241,2498
1192,2570,1395,2570,1395,2649,1192,2649
179,3205,528,3210,526,3286,179,3281
131,2995,383,2997,382,3073,131,3071
179,3065,865,3066,865,3144,179,3143
643,258,768,247,768,463,681,470
565,1921,1347,1920,1347,1995,565,1996
1096,3589,1589,3593,1588,3668,1096,3664
1578,281,1781,281,1781,350,1578,350
613,1852,1299,1849,1299,1929,614,1932
276,1990,1637,1992,1636,2073,276,2070
1236,283,1347,276,1347,350,1245,356
517,1700,1396,1703,1395,1788,517,1785
276,243,410,258,355,465,276,457
83,302,286,302,286,399,83,399
903,1077,1156,1079,1152,1286,903,1284
1324,251,1444,244,1444,464,1350,469
662,1401,1449,1425,1438,1588,662,1564
1144,2787,1395,2785,1395,2866,1145,2868
855,243,1181,287,1127,438,855,401
